ID,interface_name,coverage_name,sample_name,power_schedule_name,mcmc used,precision,input_max,difference_max,difference_mean,difference_norm,record_time
1,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:02:30
2,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:02:32
3,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:02:35
4,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:02:37
5,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:02:40
6,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:02:43
7,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:02:45
8,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:02:48
9,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:02:50
10,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:02:53
11,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:02:55
12,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:02:58
13,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:01
14,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:03
15,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:06
16,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:08
17,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:11
18,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:14
19,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:16
20,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:19
21,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:21
22,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:23
23,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:26
24,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:28
25,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:30
26,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:33
27,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:35
28,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:37
29,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:40
30,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:42
31,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:44
32,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:46
33,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:49
34,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:51
35,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:54
36,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:03:56
37,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:03:58
38,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:01
39,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:03
40,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:05
41,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:08
42,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:10
43,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:12
44,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:15
45,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:17
46,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:19
47,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:22
48,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:24
49,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:27
50,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:30
51,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:32
52,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:35
53,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:37
54,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:39
55,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:42
56,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:44
57,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:46
58,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:48
59,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:51
60,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:53
61,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:04:55
62,pool2,None,uniform_sample_function,,0,8,23979.84320442,8910.858925933126,1506.1821161240964,"(96.8971454005517,)",2020-02-25 12:04:58
63,pool2,None,uniform_sample_function,,0,8,36343.45790187,16537.01130685125,2781.6028574774386,"(175.19286972900858,)",2020-02-25 12:05:00
